Company,Symbol,Market_Cap,Total_Debt,Total_Asset,Cash_Flow,Cash_to_Market,Pomoters_Stake_Pledged,Net_Profit,Sector
Coffee Day,COFFEEDAY,4759.67,523.0,2405.37,56.92,1.195881227059859,False,-25.42,Food Processing
Colgate,COLPAL,26980.97,0.0,1019.46,192.9,0.7149483506337986,False,127.82,Personal Care
Compuage Info,COMPINFO,216.16,278.6,378.77,88.84,41.09918578830496,False,3.98,Computers - Hardware
Container Corp,CONCOR,24782.19,0.0,8105.83,2387.07,9.632199575582305,False,185.99,Transport & Logistics
Consol Finvest,CONSOFINVT,1.0,0.0,0.0,0.46,0.0,True,0.0,Finance - General
Control Print,CONTROLPR,428.17,13.12,135.13,1.82,0.425064810706028,False,3.92,Trading
Coromandel Int,COROMANDEL,9123.41,2218.02,4598.69,159.3,1.7460576692267478,False,112.67,Fertilisers
Corporation Bk,CORPBANK,6056.46,218283.03,234863.61,15181.2,250.66127737985556,False,159.02,Banks - Public Sector
Cosmo Films,COSMOFILMS,727.16,326.9,825.01,10.35,1.4233456185708786,False,26.62,Plastics
Country Condos,COUNCODOS,30.65,0.18,16.83,2.81,9.168026101141926,False,0.1,Pharmaceuticals
Cox & Kings,COX&KINGS;,4065.41,924.13,3437.16,481.5,11.843823870163158,False,36.32,Miscellaneous
CPSE ETF,CPSEETF,1.0,0.0,0.0,0.0,0.0,True,0.0,Finance - Investments
Creative Eye,CREATIVEYE,8.02,2.72,39.25,12.08,150.62344139650872,False,0.19,Media & Entertainment
Crest Ventures,CREST,468.99,62.83,236.76,2.87,0.6119533465532314,False,1.97,Finance - Housing
CRISIL,CRISIL,13589.39,0.0,714.92,20.79,0.15298699941645652,False,77.8,Miscellaneous
CG Consumer,CROMPTON,13612.93,517.21,745.93,90.0,0.6611361404194395,False,57.36,Electricals
Crown Lifters,CROWN,1.0,0.0,0.0,0.0,0.0,True,0.0,Diversified
City Union Bank,CUB,9031.83,27270.68,31251.97,2600.07,28.787853624348557,True,126.62,Banks - Private Sector
Cummins,CUMMINSIND,26195.4,0.0,3171.29,85.15,0.3250570710888171,False,198.09,Engines
Cupid,CUPID,365.35,0.88,37.01,9.19,2.5153961954290405,False,6.42,Miscellaneous
Cyber Media,CYBERMEDIA,10.93,24.68,41.83,0.22,2.012808783165599,False,-0.05,Media & Entertainment
Cyient,CYIENT,5277.11,0.0,1683.15,491.63,9.31627349060376,False,72.15,Computers - Software
LT Foods,DAAWAT,1761.1,836.19,1164.51,8.8,0.49968769519050604,False,7.86,Food Processing
Dabur India,DABUR,48617.97,86.51,2958.29,50.32,0.10350082490075171,False,229.01,Personal Care
Dalmia Bharat,DALMIABHA,17392.81,218.0,1471.52,5.62,0.03231220257106241,False,13.57,Cement - Major
Dalmia Sugar,DALMIASUG,1398.63,961.64,1472.74,46.33,3.312527258817557,False,47.63,Sugar
Damodar Ind,DAMODARIND,87.34,89.8,178.34,1.95,2.2326539958781773,False,2.06,Textiles - Spinning - Synthetic Blended
DB Corp,DBCORP,6933.95,113.53,1462.06,89.23,1.2868566978417786,False,118.63,Media & Entertainment
Dilip Buildcon,DBL,4793.78,2207.28,3299.63,105.93,2.2097384527450155,False,108.64,Construction & Contracting - Civil
DB Realty,DBREALTY,1004.66,354.36,3904.04,4.44,0.44194055700435975,False,-15.29,Construction & Contracting - Real Estate
DCB Bank,DCBBANK,4852.66,16073.89,19118.53,891.56,18.372603891473954,False,51.3,Banks - Private Sector
DCM,DCM,232.54,303.36,541.0,12.86,5.530231358045928,False,2.2,Textiles - Spinning - Cotton Blended
DCM Shriram,DCMSHRIRAM,4788.03,981.96,3126.88,15.88,0.33166041148447273,False,148.76,Diversified
DCW,DCW,670.03,735.51,1328.84,1.76,0.26267480560571915,False,5.09,Petrochemicals
Deccan Cements,DECCANCE,788.62,78.54,364.65,34.99,4.436864396033577,False,11.02,Cement - Mini
Deepak Fert,DEEPAKFERT,2308.32,1874.23,3474.4,201.79,8.741855548624107,False,46.62,Fertilisers
Deepak Nitrite,DEEPAKNTR,1715.59,393.83,869.71,3.88,0.226161262306262,False,8.01,Chemicals
Deep Industries,DEEPIND,1054.24,264.56,517.56,16.99,1.611587494308696,False,17.7,Oil Drilling And Exploration
Delta Corp,DELTACORP,4191.24,49.09,944.87,13.95,0.3328370601540356,False,1.77,Finance - General
Delta Magnets,DELTAMAGNT,23.49,12.76,37.46,0.1,0.4257130693912303,False,0.17,Electricals
Den Networks,DEN,1605.56,342.79,1786.52,130.35,8.118662647300631,False,-72.12,Media & Entertainment
Dena Bank,DENABANK,3006.9,123702.29,133441.64,5377.89,178.85164122518208,False,35.31,Banks - Public Sector
De Nora India,DENORA,121.04,0.0,48.66,1.25,1.0327164573694645,False,0.37,Electric Equipment
DFM Foods,DFMFOODS,1750.29,44.89,109.73,3.08,0.175970839118089,False,5.04,Miscellaneous
Dhampur Sugar,DHAMPURSUG,1440.94,1474.26,2196.61,10.98,0.7620025816480908,False,55.39,Sugar
Dhanlaxmi Bank,DHANBANK,623.24,11605.61,12462.98,833.13,133.67723509402478,True,-8.18,Banks - Private Sector
Dharani Sugars,DHARSUGAR,104.08,557.05,566.66,5.82,5.59185242121445,False,-14.2,Sugar
Dewan Housing,DHFL,11491.71,51556.07,56573.07,2931.5,25.509693509495108,False,244.77,Finance - Housing
Dhunseri Invest,DHUNINV,111.46,0.0,251.04,1.39,1.247084155750942,False,-0.32,Finance - General
DIC India,DICIND,427.28,0.0,302.13,21.57,5.048211945328591,False,5.12,Printing & Stationery
"
Digjam
9.50
3.26

",DIGJAMLTD,101.23,53.15,182.23,0.37,0.36550429714511506,False,-9.66,Textiles - Woollen/Worsted
"
Digjam


5.95
59.66



5.95
59.66



7.25
31.03



8.25
15.15



9.50
3.26


",DIGJAMLTD,101.23,53.15,182.23,0.37,0.36550429714511506,False,-9.66,Textiles - Woollen/Worsted
Dishman Pharma,DISHMAN,4679.63,542.51,1454.01,3.11,0.06645824563053061,False,16.11,Pharmaceuticals
Dish TV,DISHTV,11501.8,0.0,109.78,19.74,0.17162531082091498,False,47.86,Media & Entertainment
Divis Labs,DIVISLAB,16569.22,41.89,4392.02,3.89,0.02347726688401747,False,268.32,Pharmaceuticals
DLF,DLF,26527.98,8419.48,26269.57,940.57,3.545577160417039,False,170.9,Construction & Contracting - Real Estate
D-Link India,DLINKINDIA,496.71,0.0,152.97,6.73,1.354915342956655,False,9.1,Miscellaneous
Avenue Supermar,DMART,1.0,0.0,0.0,0.0,0.0,True,0.0,Retail
Dolphin Offshor,DOLPHINOFF,214.94,60.52,206.49,0.23,0.10700660649483577,False,-0.25,Oil Drilling And Exploration
Donear Ind,DONEAR,410.02,264.7,341.06,2.12,0.5170479488805424,False,4.17,Textiles - Weaving
Dhunseri Petro,DPL,264.5,1245.82,1842.33,34.4,13.005671077504726,False,7.42,Plantations - Tea & Coffee
DQ Entertain,DQE,182.75,61.69,534.08,8.95,4.897400820793433,False,-6.79,Media & Entertainment
Dredging Corp,DREDGECORP,1925.14,899.55,2443.41,131.69,6.84054146711408,True,14.04,Miscellaneous
Dhanuka Realty,DRL,1.0,0.0,0.0,0.0,0.0,True,0.0,Construction & Contracting - Real Estate
Dr Reddys Labs,DRREDDY,43629.14,3084.0,14689.4,194.2,0.4451153518038632,False,438.8,Pharmaceuticals
DS Kulkarni,DSKULKARNI,143.2,579.8,1104.11,34.57,24.14106145251397,False,0.78,Construction & Contracting - Housing
Dhunseri Tea,DTIL,212.25,17.81,468.71,2.62,1.2343934040047113,False,10.08,Plantations - Tea & Coffee
Ducon Infratech,DUCON,315.65,6.99,33.16,1.48,0.46887375257405356,False,0.25,Computers - Software
Dwarikesh Sugar,DWARKESH,828.71,591.27,708.29,4.82,0.5816268658517455,False,42.35,Sugar
Dynamatic Tech,DYNAMATECH,1721.7,300.82,580.01,3.9,0.22652029970378115,False,2.59,Pumps
"
Eastern Silk
2.70
-5.26

",EASTSILK,17.84,459.77,404.43,34.13,191.31165919282515,False,-5.03,Textiles - Synthetic/Silk
"
Eastern Silk


1.30
107.69



1.55
74.19



3.05
-11.48



2.10
28.57



2.70
-5.26


",EASTSILK,17.84,459.77,404.43,34.13,191.31165919282515,False,-5.03,Textiles - Synthetic/Silk
Easun Reyrl,EASUNREYRL,88.84,219.0,380.45,1.17,1.3169743358847366,False,-13.31,Electric Equipment
ECE Industries,ECEIND,1.0,0.0,0.0,7.32,0.0,False,0.0,Electricals
Edelweiss,EDELWEISS,13119.84,670.88,2274.81,21.04,0.16036780936352882,False,67.37,Finance - General
Empee Distiller,EDL,98.94,101.96,406.67,4.28,4.3258540529613905,False,-7.45,Breweries & Distilleries
Educomp Sol,EDUCOMP,130.31,1982.84,2113.19,31.62,24.265213721126543,False,-130.9,Computers - Software - Training
EID Parry,EIDPARRY,4968.35,809.34,2100.02,24.37,0.49050489599162694,False,12.22,Sugar
Euro India Fres,EIFFL,1.0,0.0,0.0,0.0,0.0,True,0.0,Food Processing
EIH Assoc Hotel,EIHAHOTELS,1066.39,24.88,264.77,3.15,0.2953891165521057,False,20.89,Hotels
EIH,EIHOTEL,6881.7,209.22,2896.15,5.79,0.08413618727930598,False,54.31,Hotels
Eimco Elecon,EIMCOELECO,279.19,0.0,218.05,1.38,0.4942870446649235,False,4.71,Engineering - Heavy
Everest Kanto,EKC,412.92,311.72,388.33,2.78,0.6732538990603506,False,-15.98,Packaging
E-Land Apparel,ELAND,106.54,327.46,141.65,2.75,2.581190163318941,False,-13.31,Textiles - Weaving
Elecon Eng,ELECON,592.98,291.96,831.09,10.56,1.7808357786097337,True,-7.51,Engineering - Heavy
Electrosteel,ELECTCAST,1240.42,1918.54,4460.79,81.61,6.579223166346882,False,24.01,Castings & Forgings
Electrotherm,ELECTHERM,218.92,2955.81,1753.07,62.81,28.690845971131008,False,-20.61,Engineering
Elgi Equipments,ELGIEQUIP,3432.12,63.8,604.85,38.08,1.109518315210424,False,13.3,Compressors
Elgi Rubber,ELGIRUBCO,75.58,0.0,217.11,36.09,47.750727705742264,False,0.0,Tyres
Emami Infra,EMAMIINFRA,205.56,887.92,898.52,14.34,6.976065382370111,False,-0.17,Construction & Contracting - Real Estate
Emami,EMAMILTD,24172.05,660.0,2010.9,65.04,0.26907109657641787,False,140.07,Personal Care
Emco,EMCO,188.08,506.71,1063.2,2.31,1.228200765631646,False,-11.13,Electric Equipment
Emkay Global,EMKAY,193.31,9.0,122.7,24.69,12.772231131343437,False,1.3,Finance - General
Emmbi Ind,EMMBI,263.67,59.09,132.06,1.05,0.3982250540448287,False,2.39,Packaging
Endurance Techn,ENDURANCE,10691.78,0.0,0.0,0.0,0.0,False,47.2,Auto - 2 & 3 Wheelers
EngineersInd,ENGINERSIN,9727.36,0.0,2665.02,8.72,0.08964405552996908,False,84.99,Infrastructure - General
Ent Network Ind,ENIL,3923.28,250.22,1019.04,16.14,0.41139046919924144,False,16.29,Media & Entertainment
Eon Electric,EON,108.63,66.9,179.67,14.89,13.707079075761762,False,0.97,Electric Equipment
Equitas Holding,EQUITAS,5728.19,0.0,961.51,54.95,0.9592908056471591,True,1.36,Finance - General
Eros Intl,EROSMEDIA,2581.34,335.81,1524.78,17.19,0.6659331974865768,False,39.26,Media & Entertainment
Escorts,ESCORTS,6605.67,301.76,2174.05,31.15,0.47156458012586155,False,22.71,Auto - Tractors
Electrosteel St,ESL,1057.65,8807.85,9574.15,52.46,4.960052947572448,False,-413.41,Steel - Medium / Small
Essar Shipping,ESSARSHPNG,579.53,2929.69,7553.59,3.68,0.634997325418874,False,-83.56,Shipping
ESS DEE,ESSDEE,139.73,543.37,1306.72,6.99,5.002504830745009,False,-60.98,Packaging
Essel Propack,ESSELPACK,3740.38,174.68,728.57,2.12,0.056678733176842994,False,11.86,Packaging
Ester Ind,ESTER,438.12,278.89,572.12,2.07,0.47247329498767454,False,-3.55,Packaging
Eurotex,EUROTEXIND,29.79,37.48,96.49,0.29,0.9734810339039945,False,-4.89,Textiles - Spinning - Cotton Blended
Eveready Ind,EVEREADY,1907.68,138.73,798.4,2.07,0.10850876457267464,False,35.19,Dry Cells
Excel,EXCELINDUS,522.31,77.73,284.78,2.89,0.5533112519385041,False,21.2,Chemicals
Exide Ind,EXIDEIND,19035.75,102.5,4536.57,73.83,0.3878491785193649,False,151.49,Auto Ancillaries
Fert and Chem,FACT,2682.11,1810.59,501.7,3.67,0.13683256838832114,False,-33.59,Fertilisers
FAG Bearings,FAGBEARING,7502.7,0.0,1289.24,65.41,0.8718194783211377,False,56.38,Bearings
Fairchem Spec,FAIRCHEM,755.64,28.52,91.79,0.15,0.019850722566301413,False,2.77,Chemicals
Farmax India,FARMAXIND,4.81,41.0,33.11,-3.02,-62.78586278586279,False,-0.81,Trading
Fineotex Chem,FCL,384.07,3.04,86.72,1.88,0.48949410263754006,False,4.4,Chemicals
Future Consumer,FCONSUMER,4846.16,392.33,1273.67,14.4,0.29714247981907327,False,1.29,Finance - Investments
FDC,FDC,3614.46,0.79,1044.77,13.16,0.36409311487746443,False,22.03,Pharmaceuticals
Fedders Lloyd,FEDDERLOYD,283.14,479.11,903.15,10.99,3.881472063290245,True,3.44,Consumer Goods - White Goods
Federal Bank,FEDERALBNK,15739.12,81348.28,91430.03,5419.81,34.43527973609706,True,205.65,Banks - Private Sector
Future Ent,FEL,1427.13,4554.44,7872.23,56.63,3.9681038167511016,False,-41.64,Retail
Future Ent DVR,FELDVR,1.0,0.0,0.0,56.63,0.0,False,0.0,Retail
FIEM Ind,FIEMIND,1268.54,109.15,382.19,3.68,0.2900972771847951,False,9.06,Auto Ancillaries
Filatex India,FILATEX,522.43,445.38,654.92,1.65,0.3158317860766036,False,7.2,Textiles - Manmade
Finolex Cables,FINCABLES,7919.96,25.75,1493.38,21.21,0.2678043828504184,False,68.43,Cables - Telephone
Finolex Ind,FINPIPE,7165.89,111.71,1069.53,10.41,0.14527155733621364,False,71.95,Petrochemicals
First Winner,FIRSTWIN,15.57,101.32,230.99,0.0,0.0,False,-2.41,Textiles - General
Flexituff Intl,FLEXITUFF,460.08,555.98,934.08,4.12,0.8954964354025388,False,2.75,Packaging
Future Life,FLFL,5296.41,915.54,2538.78,14.62,0.2760360319537196,False,15.94,Retail
Federal-Mogul,FMGOETZE,3057.54,191.33,681.71,37.54,1.2277844280042125,False,11.42,Auto Ancillaries
Future Market,FMNL,413.74,309.17,489.18,0.56,0.135350703340262,False,-5.44,Miscellaneous
Fortis Health,FORTIS,9322.06,1044.54,4652.83,9.1,0.09761790848803806,True,-61.47,Hospitals & Medical Services
Foseco India,FOSECOIND,864.73,1.85,110.77,16.09,1.8606964023452406,False,7.04,Chemicals
Fourth Dimensio,FOURTHDIM,1.0,0.0,0.0,0.0,0.0,True,0.0,Miscellaneous
Future Retail,FRETAIL,12613.74,1122.4,2996.59,89.49,0.709464441157024,False,101.05,Retail
Gabriel India,GABRIEL,1743.12,8.06,387.97,35.14,2.015925466978751,False,18.83,Auto Ancillaries
Guj Amb Exports,GAEL,1660.22,321.27,1237.66,8.05,0.48487549842791927,False,45.36,Edible Oils & Solvent Extraction
GAIL,GAIL,63669.11,5781.28,36366.15,1793.86,2.817473025773409,False,982.92,Oil Drilling And Exploration
Gyscoal Alloys,GAL,181.23,90.76,170.28,2.68,1.478783865805882,False,0.43,Steel - Sponge Iron
Gallantt Metal,GALLANTT,341.55,62.12,385.22,4.61,1.3497291758161325,False,7.89,Steel - Sponge Iron
Gallantt Ispat,GALLISPAT,1694.73,174.89,526.83,5.21,0.307423601399633,False,9.31,Steel - Sponge Iron
Gammon Infra,GAMMNINFRA,387.09,82.98,958.88,2.27,0.5864269291379266,False,1.74,Construction & Contracting - Civil
Gammon India,GAMMONIND,357.38,5083.58,6511.62,135.49,37.9120264144608,False,-20.53,Construction & Contracting - Civil
Ganesha Ecosph,GANECOS,416.14,118.23,318.42,2.19,0.5262651992118037,False,7.78,Textiles - Processing
Ganesh Housing,GANESHHOUC,410.64,212.73,910.67,0.0,0.0,False,7.34,Construction & Contracting - Housing
Gangotri Textil,GANGOTRI,3.26,279.77,44.36,0.0,0.0,False,-0.2,Textiles - Spinning - Cotton Blended
Garden Silk,GARDENSILK,134.66,963.05,937.07,26.33,19.55294816575078,False,-32.87,Textiles - Weaving
Garware Wall,GARWALLROP,1567.52,29.83,394.6,83.22,5.309023170358273,False,17.86,Textiles - General
Gati,GATI,1238.96,247.4,870.19,20.44,1.64977077548912,False,2.76,Couriers
Gayatri Project,GAYAPROJ,2545.34,1862.18,2700.86,180.05,7.073711174145694,False,14.16,Construction & Contracting - Civil
Gateway Distri,GDL,2753.54,17.81,723.63,6.69,0.24295997152756088,False,16.37,Miscellaneous
GeeCee Ventures,GEECEE,275.93,0.06,331.17,139.76,50.65052730765049,False,4.59,Chemicals
Gemini Comm,GEMINI,20.49,170.37,93.67,0.0,0.0,False,-0.34,Telecommunications - Equipment
Genus Paper,GENUSPAPER,133.71,54.9,371.86,8.62,6.44678782439608,False,1.4,Paper
Genus Power,GENUSPOWER,1041.59,216.53,876.07,38.09,3.656909148513331,False,12.21,Electricals
Geojit Fin,GEOJITFSL,1398.01,0.0,355.37,50.51,3.612992753986023,False,12.37,Finance - General
GE Shipping,GESHIP,6291.93,2611.94,7815.58,699.76,11.121547760385127,False,171.96,Shipping
Guj Heavy Chem,GHCL,2660.01,1166.48,2151.86,40.95,1.5394678967372304,False,80.54,Chemicals
GIC Housing Fin,GICHSGFIN,1958.02,6129.31,6861.11,50.37,2.5724967058559156,False,34.43,Finance - Housing
Globe Internati,GICL,1.0,0.0,0.0,0.0,0.0,True,0.0,Diversified
Gillanders Arbu,GILLANDERS,138.73,338.79,529.66,23.24,16.751964247098684,False,0.36,Plantations - Tea & Coffee
Gillette India,GILLETTE,13887.49,0.0,857.79,536.46,3.862901071395911,False,54.75,Personal Care
Ginni Filaments,GINNIFILA,252.22,244.34,393.23,4.02,1.5938466418206325,False,4.74,Textiles - Spinning - Cotton Blended
GKW,GKWLIMITED,1.0,0.0,0.0,8.81,0.0,True,0.0,Fasteners
GlaxoSmithKline,GLAXO,23167.97,1.6,1718.73,116.19,0.5015113538216771,False,52.95,Pharmaceuticals
Glenmark,GLENMARK,24202.97,787.42,8073.18,74.24,0.30673921423693035,False,711.31,Pharmaceuticals
Guj Lease Fin,GLFL,12.21,33.27,3.67,0.16,1.3104013104013104,False,-0.03,Finance - Leasing & Hire Purchase
Global Educatio,GLOBAL,1.0,0.0,0.0,0.0,0.0,True,0.0,Miscellaneous
Global Vectra,GLOBALVECT,161.84,183.3,271.09,1.7,1.050420168067227,False,2.16,Miscellaneous
Global Offshore,GLOBOFFS,106.58,351.48,762.31,9.46,8.875961718896605,False,-3.72,Shipping
Globus Spirits,GLOBUSSPR,219.59,229.71,593.26,7.12,3.2424063026549477,False,2.08,Breweries & Distilleries
GM Breweries,GMBREW,688.77,0.0,180.98,34.05,4.9435951043163895,False,9.9,Breweries & Distilleries
GMR Infra,GMRINFRA,9657.51,5434.07,14855.92,329.99,3.416926309162507,False,-381.93,Infrastructure - General
GNA Axles,GNA,468.27,0.0,0.0,0.0,0.0,False,8.14,Auto Ancillaries
GNFC,GNFC,4467.51,3531.48,6200.6,3.29,0.07364281221530561,False,66.77,Fertilisers
Goa Carbon,GOACARBON,106.56,205.41,276.41,25.82,24.23048048048048,False,-1.09,Petrochemicals
GOCL Corp,GOCLCORP,1842.36,3.65,1020.26,15.52,0.8423977941336113,False,5.06,Chemicals
Godfrey Phillip,GODFRYPHLP,5891.17,79.24,1486.79,9.3,0.15786337858184368,False,38.44,Cigarettes
Godrej Consumer,GODREJCP,57025.09,2.75,3826.0,140.6,0.24655813783020775,False,231.4,Personal Care
Godrej Ind,GODREJIND,16958.25,2330.69,4090.17,7.11,0.04192649595329707,False,-42.31,Personal Care
Godrej Prop,GODREJPROP,8351.65,2628.73,4730.11,229.47,2.7476007734998475,False,89.41,Construction & Contracting - Real Estate
Gokaldas Export,GOKEX,245.02,313.05,525.9,54.64,22.30022039017223,False,-21.84,Textiles - Readymade Apparels
Gokul Refoils,GOKUL,311.93,21.0,289.52,22.98,7.367037476356875,False,0.28,Edible Oils & Solvent Extraction
Gokul Agro,GOKULAGRO,342.93,225.08,396.57,147.86,43.11667104073718,False,3.06,Chemicals
R Shares Gold ,GOLDBEES,1.0,0.0,0.0,0.0,0.0,True,0.0,Banks - Private Sector
Golden Tobacco,GOLDENTOBC,131.1,46.86,-99.88,0.46,0.3508771929824562,False,-10.22,Cigarettes
Goldstone Infra,GOLDINFRA,275.3,49.8,136.01,9.49,3.4471485652015983,False,1.18,Telecommunications - Service
ICICI Gold ETF,GOLDIWIN,1.0,0.0,0.0,0.0,0.0,True,0.0,Finance - Investments
UTI - Gold,GOLDSHARE,1.0,0.0,0.0,0.0,0.0,True,0.0,Banks - Public Sector
Godawari Power,GPIL,413.32,1118.23,1875.1,25.93,6.273589470628085,False,-13.58,Steel - Sponge Iron
Gujarat Pipavav,GPPL,7967.09,0.0,1916.35,119.13,1.4952761924366362,False,64.54,Shipping
GPT Infra,GPTINFRA,358.48,215.2,364.24,1.3,0.3626422673510377,False,1.25,Construction & Contracting - Civil
Granules India,GRANULES,3174.39,331.69,994.67,110.7,3.487284171132092,False,35.29,Pharmaceuticals
Grasim,GRASIM,48986.96,1615.18,13985.69,36.1,0.0736930807708827,False,331.35,Diversified
Gravita India,GRAVITA,346.45,93.41,185.6,0.63,0.1818444219945158,False,4.46,Miscellaneous
Greaves Cotton,GREAVESCOT,4265.07,0.0,855.28,7.27,0.17045441223707936,False,44.1,Engines
Greenlam Ind,GREENLAM,1532.66,222.89,487.39,0.57,0.037190244411676426,False,7.71,Miscellaneous
Greenply Ind,GREENPLY,3494.88,182.85,788.72,27.91,0.7985968044682507,False,24.0,Miscellaneous
Grindwell Norto,GRINDWELL,3877.97,3.0,674.87,113.15,2.9177636753249767,False,26.59,Abrasives
The Grob Tea,GROBTEA,1.0,0.0,0.0,0.6,0.0,True,0.0,Plantations - Tea & Coffee
GRP,GRPLTD,216.27,55.73,174.61,1.98,0.9155222638368705,False,1.27,Rubber
GRUH Finance,GRUH,14408.03,8652.05,9487.35,27.45,0.1905187593307343,False,64.04,Finance - Housing
Guj Sidhee Cem,GSCLCEMENT,232.18,17.79,195.12,33.52,14.437074683435267,False,-6.78,Cement - Major
GSFC,GSFC,5210.09,1190.36,5928.41,40.33,0.7740749200109787,False,61.17,Fertilisers
GlaxoSmith Con,GSKCONS,21699.82,0.0,2445.65,1061.67,4.892529062453053,False,136.41,Food Processing
Guj State Petro,GSPL,9076.58,789.04,4757.49,75.6,0.8329128372140167,False,118.56,Oil Drilling And Exploration
GTL,GTL,268.98,1395.78,-1185.15,67.27,25.00929437132872,False,-115.98,Telecommunications - Equipment
GTL Infra,GTLINFRA,1421.93,4702.27,4580.36,46.24,3.2519181675609907,False,-114.26,Telecommunications - Equipment
GTN Industries,GTNIND,33.24,124.3,202.24,3.08,9.265944645006016,False,-2.01,Textiles - Spinning - Cotton Blended
GTN Textiles,GTNTEX,20.98,46.1,66.06,1.03,4.909437559580553,False,-0.82,Textiles - General
GOL Offshore,GTOFFSHORE,121.46,1121.34,1505.07,9.18,7.558043800428125,False,-89.87,Shipping
Gufic Bio,GUFICBIO,513.22,39.94,73.91,6.16,1.200264993570009,False,3.1,Pharmaceuticals
Guj Alkali,GUJALKALI,2992.55,225.27,2543.85,14.59,0.48754406776829123,False,47.32,Chemicals
Gujarat Apollo,GUJAPOLLO,195.75,109.25,358.53,8.0,4.086845466155811,False,0.65,Engineering - Heavy
Guj Flourochem,GUJFLUORO,8328.83,428.57,3341.19,19.29,0.231605159428155,False,25.39,Chemicals
Gujarat Gas,GUJGASLTD,10566.79,1707.56,3810.34,22.74,0.21520253549091065,False,42.29,Oil Drilling And Exploration
Guj NRE Coke,GUJNRECOKE,429.17,2722.18,3887.55,9.75,2.2718270149358064,False,-126.26,Miscellaneous
Guj NRE (DVR),GUJNREDVR,9.71,2722.18,3887.55,9.75,100.41194644696189,False,-126.26,Miscellaneous
Gulf Oil Lubric,GULFOILLUB,3489.99,194.72,443.27,188.1,5.389700257020794,False,27.6,Lubricants
GP Petroleums,GULFPETRO,448.66,117.38,257.33,26.6,5.9287656577363705,False,3.38,Lubricants
Gulshan Poly,GULPOLY,424.6,115.02,359.11,44.73,10.534620819594913,False,4.65,Chemicals
Hanung Toys,HANUNG,13.93,2853.26,728.22,0.61,4.379038047379756,False,-100.96,Miscellaneous
Harita Seating,HARITASEAT,547.72,1.72,70.58,1.53,0.2793398086613598,False,6.53,Auto Ancillaries
Harrisons Malay,HARRMALAYA,154.47,96.23,337.23,7.81,5.055997928400337,False,2.82,Plantations - Tea & Coffee
Hathway Cable,HATHWAY,3147.57,1179.6,2190.42,27.2,0.8641587002036492,False,-44.4,Media & Entertainment
Hatsun Agro,HATSUN,7806.23,519.23,749.9,29.2,0.3740602057587338,False,28.81,Food Processing
Havells India,HAVELLS,29055.71,0.0,2644.18,76.77,0.26421656879146993,False,152.97,Electric Equipment
HBL Power,HBLPOWER,1087.9,538.24,1137.67,13.79,1.2675797407849985,False,9.27,Electric Equipment
Hb Stockhol,HBSTOCK,39.67,0.0,136.05,0.93,2.344340811696496,False,2.69,Finance - Leasing & Hire Purchase
Hind Constr,HCC,3992.28,4530.41,6393.24,67.4,1.6882583385934855,True,4.55,Construction & Contracting - Civil
Healthcare Glob,HCG,1994.54,138.78,663.08,74.04,3.7121341261644294,False,5.51,Hospitals & Medical Services
HCL Info,HCL-INSYS,1165.87,531.24,1758.15,96.2,8.251348778165662,False,-32.71,Computers - Hardware
HCL Tech,HCLTECH,123204.64,28.19,21537.1,125.17,0.10159519966131146,False,1661.54,Computers - Software
HDFC,HDFC,237890.61,150687.13,184808.19,2638.1,1.1089550781344417,True,1701.21,Finance - Housing
HDFC Bank,HDFCBANK,369239.88,599442.66,708845.57,38918.84,10.540259085773723,False,3865.33,Banks - Private Sector
HDFC Gold ETF,HDFCMFGETF,1.0,0.0,0.0,0.0,0.0,True,0.0,Finance - Investments
HDFC Nifty ETF,HDFCNIFETF,1.0,0.0,0.0,0.0,0.0,True,0.0,Finance - General
HDFC SENSEX ETF,HDFCSENETF,1.0,0.0,0.0,0.0,0.0,True,0.0,Finance - General
HDIL,HDIL,3552.32,1950.69,12947.89,136.94,3.8549455004053685,False,13.89,Construction & Contracting - Real Estate
Heidelberg Cem,HEIDELBERG,2825.87,756.09,1651.71,7.77,0.274959569973141,False,-3.58,Cement - Major
Hercules Hoists,HERCULES,488.32,7.3,195.03,1.35,0.2764580602883355,False,-0.26,Engineering
Heritage Foods,HERITGFOOD,2497.14,105.1,345.1,44.4,1.778034070977198,False,19.94,Food Processing
Hero Motocorp,HEROMOTOCO,64402.23,0.0,7944.75,56.47,0.08768329916526182,False,772.05,Auto - 2 & 3 Wheelers
Hester Bio,HESTERBIO,649.92,34.06,134.38,4.96,0.7631708517971443,False,5.8,Pharmaceuticals
Hexa Tradex,HEXATRADEX,106.3,2.38,231.72,0.43,0.4045155221072437,False,-0.37,Finance - Investments
Hexaware Tech,HEXAWARE,6483.99,0.0,1109.95,110.56,1.7051229258527543,False,105.67,Computers - Software
HFCL,HFCL,1580.21,393.43,1518.95,5.86,0.37083678751558335,False,21.03,Telecommunications - Equipment
Hinduja Global,HGS,1206.3,237.74,1143.55,28.09,2.3286081405952084,False,30.34,Computers - Software
High Ground Ent,HIGHGROUND,340.74,33.21,126.16,5.68,1.6669601455655338,False,4.53,Trading
Hikal,HIKAL,1747.58,468.55,1033.45,4.29,0.24548232412822305,False,13.2,Pharmaceuticals
Hilton Metal,HILTON,23.83,24.36,84.27,1.47,6.168694922366765,False,-0.52,Castings & Forgings
