Sector,Symbol,Market_Cap,Total_Asset,Cash_Flow,Net_Profit
Personal Care,JYOTHYLAB,6358.93,1032.57,80.82,29.29
Petrochemicals,SUPPETRO,2933.66,414.98,70.93,35.42
Pharmaceuticals,APLLTD,11799.21,1530.28,284.81,137.83
Pharmaceuticals,ABBOTINDIA,9857.23,1107.62,140.19,85.56
Pharmaceuticals,SANOFI,10870.45,1627.16,567.74,50.5
Pharmaceuticals,LALPATHLAB,7982.66,479.24,18.06,29.02
Pharmaceuticals,MERCK,1726.34,591.55,9.18,18.2
Pharmaceuticals,ASTRAZEN,2351.75,156.01,76.2,15.96
Pharmaceuticals,AMRUTANJAN,865.23,120.48,42.27,9.65
Pharmaceuticals,ALEMBICLTD,978.67,289.34,2.34,0.69
Pharmaceuticals,PIRPHYTO,214.3,5.0,1.19,0.53
Plastics,ARROWGREEN,492.02,27.48,5.52,1.76
Printing & Stationery,MPSLTD,1284.38,274.88,4.23,15.39
Printing & Stationery,DICIND,427.28,302.13,21.57,5.12
Shipping,GPPL,7967.09,1916.35,119.13,64.54
Steel - Sponge Iron,TATASPONGE,1076.77,807.46,250.06,10.96
Telecommunications - Equipment,INFRATEL,60195.5,18573.2,2009.1,367.9
Telecommunications - Equipment,HONAUT,9162.87,1009.74,371.28,64.02
Textiles - Machinery,LAXMIMACH,4622.35,1426.13,18.32,51.26
Textiles - Spinning - Synthetic Blended,VHL,900.01,278.3,0.62,1.45
Trading,PTC,2749.92,2789.88,160.43,42.57
Transport & Logistics,CONCOR,24782.19,8105.83,2387.07,185.99
Tyres,PTL,323.33,680.98,0.76,6.47
Vanaspati/Oils,ZYDUSWELL,3399.27,477.16,326.38,25.14
Vanaspati/Oils,ZYDUSWELL,3399.27,477.16,326.38,25.14
Vanaspati/Oils,IVP,182.77,62.81,11.15,2.84
Vanaspati/Oils,IVP,182.77,62.81,11.15,2.84
